County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,
Accomack,1130,2259,1130,2259,339,678,
Albemarle,1043,2085,1043,2085,313,626,
Alexandria,893,1785,893,1785,268,536,
Alleghany,1164,2327,1164,2327,349,698,
Amelia,969,1937,969,1937,291,581,
Amherst,1100,2200,1100,2200,330,660,
Appomattox,1181,2361,1181,2361,354,708,
Arlington,726,1452,726,1452,218,436,
Augusta,1219,2437,1219,2437,366,731,
Bath,1307,2615,1307,2615,392,784,
Bedford,1164,2329,1164,2329,349,699,
Bland,1152,2305,1152,2305,346,691,
Botetourt,1147,2293,1147,2293,344,688,
Bristol,1306,2613,1306,2613,392,784,
Brunswick,1070,2139,1070,2139,321,642,
Buchanan,1186,2372,1186,2372,356,711,
Buckingham,1009,2017,1009,2017,303,605,
Buena Vista,1222,2443,1222,2443,366,733,
Campbell,1207,2415,1207,2415,362,724,
Caroline,1024,2047,1024,2047,307,614,
Carroll,1184,2369,1184,2369,355,711,
Charles City,1033,2065,1033,2065,310,620,
Charlotte,1315,2631,1315,2631,395,789,
Charlottesville,926,1852,926,1852,278,556,
Chesapeake,1184,2369,1184,2369,355,711,
Chesterfield,1095,2190,1095,2190,329,657,
Clarke,1070,2140,1070,2140,321,642,
Colonial Heights,1298,2596,1298,2596,389,779,
Covington,1195,2390,1195,2390,358,717,
Craig,1163,2326,1163,2326,349,698,
Culpeper,1105,2211,1105,2211,332,663,
Cumberland,1062,2124,1062,2124,319,637,
Danville,1328,2656,1328,2656,398,797,
Dickenson,1114,2229,1114,2229,334,669,
Dinwiddie,1114,2228,1114,2228,334,668,
Emporia,1355,2710,1355,2710,407,813,
Essex,1105,2209,1105,2209,331,663,
Fairfax,862,1724,862,1724,259,517,
Fairfax,896,1792,896,1792,269,538,
Falls Church,867,1734,867,1734,260,520,
Fauquier,1080,2159,1080,2159,324,648,
Floyd,1090,2180,1090,2180,327,654,
Fluvanna,1031,2062,1031,2062,309,619,
Franklin,1483,2966,1483,2966,445,890,
Franklin,1072,2144,1072,2144,322,643,
Frederick,1109,2218,1109,2218,333,665,
Fredericksburg,1221,2442,1221,2442,366,733,
Galax,1372,2745,1372,2745,412,823,
Giles,1253,2506,1253,2506,376,752,
Gloucester,1177,2354,1177,2354,353,706,
Goochland,1104,2208,1104,2208,331,662,
Grayson,1110,2221,1110,2221,333,666,
Greene,1085,2171,1085,2171,326,651,
Greensville,1152,2303,1152,2303,346,691,
Halifax,1142,2283,1142,2283,343,685,
Hampton,1295,2591,1295,2591,389,777,
Hanover,1113,2227,1113,2227,334,668,
Harrisonburg,1093,2186,1093,2186,328,656,
Henrico,1108,2217,1108,2217,333,665,
Henry,1254,2509,1254,2509,376,753,
Highland,894,1789,894,1789,268,537,
Hopewell,1243,2487,1243,2487,373,746,
Isle Of Wight,1192,2383,1192,2383,357,715,
James City,1172,2345,1172,2345,352,703,
King George,1050,2101,1050,2101,315,630,
King William,1096,2191,1096,2191,329,657,
King and Queen,982,1965,982,1965,295,589,
Lancaster,1198,2396,1198,2396,359,719,
Lee,1297,2594,1297,2594,389,778,
Lexington,940,1879,940,1879,282,564,
Loudoun,921,1842,921,1842,276,553,
Louisa,1086,2171,1086,2171,326,651,
Lunenburg,1116,2232,1116,2232,335,670,
Lynchburg,1211,2422,1211,2422,363,727,
Madison,1037,2073,1037,2073,311,622,
Manassas,1016,2033,1016,2033,305,610,
Manassas Park,1009,2018,1009,2018,303,605,
Martinsville,1365,2731,1365,2731,410,819,
Mathews,1103,2207,1103,2207,331,662,
Mecklenburg,1223,2446,1223,2446,367,734,
Middlesex,1010,2019,1010,2019,303,606,
Montgomery,1118,2237,1118,2237,336,671,
Nelson,923,1846,923,1846,277,554,
New Kent,989,1977,989,1977,297,593,
Newport News,1301,2601,1301,2601,390,780,
Norfolk,1284,2568,1284,2568,385,770,
Northampton,1064,2127,1064,2127,319,638,
Northumberland,912,1824,912,1824,274,547,
Norton,1277,2554,1277,2554,383,766,
Nottoway,1250,2499,1250,2499,375,750,
Orange,1061,2121,1061,2121,318,636,
Page,1052,2104,1052,2104,316,631,
Patrick,1059,2117,1059,2117,318,635,
Petersburg,1361,2722,1361,2722,408,816,
Pittsylvania,1258,2517,1258,2517,378,755,
Poquoson,1207,2413,1207,2413,362,724,
Portsmouth,1221,2442,1221,2442,366,733,
Powhatan,996,1993,996,1993,299,598,
Prince Edward,1101,2202,1101,2202,330,661,
Prince George,972,1944,972,1944,292,583,
Prince William,999,1998,999,1998,300,600,
Pulaski,1325,2650,1325,2650,397,795,
Radford,1317,2633,1317,2633,395,790,
Rappahannock,961,1921,961,1921,288,576,
Richmond,1173,2347,1173,2347,352,704,
Richmond,917,1834,917,1834,275,550,
Roanoke,1335,2669,1335,2669,400,801,
Roanoke,1163,2326,1163,2326,349,698,
Rockbridge,1113,2225,1113,2225,334,668,
Rockingham,1108,2217,1108,2217,333,665,
Russell,1207,2414,1207,2414,362,724,
Salem,1242,2485,1242,2485,373,745,
Scott,1243,2486,1243,2486,373,746,
Shenandoah,1108,2215,1108,2215,332,665,
Smyth,1299,2598,1299,2598,390,780,
Southampton,1157,2314,1157,2314,347,694,
Spotsylvania,1067,2134,1067,2134,320,640,
Stafford,951,1901,951,1901,285,570,
Staunton,1307,2614,1307,2614,392,784,
Suffolk,1260,2520,1260,2520,378,756,
Surry,1097,2193,1097,2193,329,658,
Sussex,1219,2438,1219,2438,366,731,
Tazewell,1226,2452,1226,2452,368,736,
Virginia Beach,1187,2374,1187,2374,356,712,
Warren,1088,2177,1088,2177,327,653,
Washington,1273,2546,1273,2546,382,764,
Waynesboro,1283,2566,1283,2566,385,770,
Westmoreland,1096,2193,1096,2193,329,658,
Williamsburg,955,1910,955,1910,286,573,
Winchester,1294,2589,1294,2589,388,777,
Wise,1229,2457,1229,2457,369,737,
Wythe,1293,2587,1293,2587,388,776,
York,1112,2225,1112,2225,334,667,
,,,,,,,
